GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
formatted-files,org.bff.files.formatted.processors,DateParser,58,0,4,0,12,0,5,0,3,0
formatted-files,org.bff.files.formatted.processors,ParsingUtils,101,0,18,0,17,0,16,0,7,0
formatted-files,org.bff.formatted.model.annotations,FormattedField.Alignment,24,0,0,0,1,0,1,0,1,0
formatted-files,org.bff.files,BatchedLineIterator,99,0,22,0,22,0,18,0,7,0
formatted-files,org.bff.files,BatchedLineIterator.Builder,32,0,4,0,10,0,6,0,4,0
formatted-files,org.bff.files.formatted,DelimiterSeparatedReader,101,0,4,0,19,0,8,0,6,0
formatted-files,org.bff.files.formatted,FormattedProcessor,22,0,2,0,7,0,3,0,2,0
formatted-files,org.bff.files.formatted,FieldParser,29,0,0,0,7,0,2,0,2,0
formatted-files,org.bff.files.formatted,FormattedWriter,59,0,4,0,16,0,8,0,6,0
formatted-files,org.bff.files.formatted,FFUtils,35,0,4,0,7,0,8,0,6,0
formatted-files,org.bff.files.formatted,DelimiterSeparatedWriter.Builder,21,0,2,0,7,0,4,0,3,0
formatted-files,org.bff.files.formatted,FormattedReader,35,0,0,0,12,0,5,0,5,0
formatted-files,org.bff.files.formatted,DelimiterSeparatedReader.Builder,81,0,4,0,23,0,11,0,9,0
formatted-files,org.bff.files.formatted,DelimiterSeparatedWriter,61,0,4,0,12,0,5,0,3,0
